title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime 
A Compassionate Spy,-1,, TBA,-1,"The incredible story of Manhattan Project scientist Ted Hall, who shared classified nuclear secrets with Russia.",Steve James,Documentary,101
Mistress America,2015,Fox Searchlight Pictures," August 14, 2015",6.5,"Tracy (Lola Kirke) is a lonely college freshman in New York, having neither the exciting university experience nor the glamorous metropolitan lifestyle she envisioned. But when she is taken in by her soon-to-be stepsister, Brooke (Greta Gerwig) – a resident of Times Square and adventurous gal about town – she is rescued from her… Expand",Noah Baumbach,Comedy,84
Spy,2015,Twentieth Century Fox Film Corporation," June 5, 2015",4.9,"Susan Cooper (Melissa McCarthy) is an unassuming, deskbound CIA analyst, and the unsung hero behind the Agency’s most dangerous missions. But when her partner falls off the grid and another top agent is compromised, she volunteers to go deep undercover to infiltrate the world of a deadly arms dealer, and prevent a global disaster.",Paul Feig,Action,119
After Tiller,2013,Oscilloscope Pictures," September 20, 2013",6.2,"After the assassination of Dr. George Tiller in Kansas in 2009, there are a limited number of doctors left in the country who provide third-trimester abortions for women. After Tiller moves between the rapidly unfolding stories of these doctors, all of whom were close colleagues of Dr. Tiller, and are fighting to keep this service available… Expand",Lana Wilson,Biography,85
A Chiara,2022,Neon," May 27, 2022",6.2,"Winner of the Cannes’ Directors' Fortnight Award and a rising voice of Italian cinema, filmmaker Jonas Carpignano continues his exploration of the intricacies of life in contemporary Calabria with this compelling character study of a teenager, Chiara, who gradually comes to discover that her close-knit family is not all that it seems. In… Expand",Jonas Carpignano,Drama,121
An Unreasonable Man,2007,IFC First Take," January 31, 2007",8.1,"With the help of exciting graphics, rare archival footage and over forty on-camera interviews conducted over the past two years, An Unreasonable Man traces the life and career of Ralph Nader, one of the most unique, important, and controversial political figures of the past half century. (Two Left Legs, LLC)",Henriette Mantel,Biography,122
24 City,2009,Cinema Guild," June 5, 2009",7.6,"24 City chronicles the dramatic and thunderous fall of a State-owned munitions factory and its conversion into a luxury high-rise apartment complex. Artfully composed, rich in offbeat details, and punctuated with pop songs, 24 City weaves together the stories of three generations of factory workers (some real, some played by actors) into a
… Expand",Zhang Ke Jia,Drama,112
Night Moves,2014,," May 30, 2014",7,"As organic farmer Josh (Jesse Eisenberg), high society dropout Dena (Dakota Fanning) and ex-Marine Harmon (Peter Sarsgaard) plan, carry out and then witness the fallout of an attention-grabbing act of sabotage, they find their own personal limits tested.",Kelly Reichardt,Drama,112
Casualties of War,1989,Columbia Pictures," August 18, 1989",5.1,"During the Vietnam War, a soldier (Michael J. Fox) finds himself the outsider of his own squad when they unnecessarily kidnap a female villager.",Brian De Palma,Drama,113
Leap of Faith: William Friedkin on the Exorcist,2020,Shudder," November 19, 2020",-1,"A lyrical and spiritual cinematic essay on The Exorcist, Leap Of Faith explores the uncharted depths of William Friedkin's mind's eye, the nuances of his filmmaking process, and the mysteries of faith and fate that have shaped his life and filmography.",Alexandre O. Philippe,Thriller,104
The Kingdom of Dreams and Madness,2014,GKIDS," November 28, 2014",8,"Granted near-unfettered access to the notoriously insular Studio Ghibli, director Mami Sunada follows the three men who are the lifeblood of Ghibli – the eminent director Hayao Miyazaki, the producer Toshio Suzuki, and the elusive and influential “other director” Isao Takahata – over the course of a year as the studio rushes to complete two… Expand",Mami Sunada,Documentary,118
Satan & Adam,2019,Cargo Films and Releasing," April 12, 2019",-1,"Satan & Adam chronicles the unlikely pairing of legendary one-man-band Sterling ""Mr. Satan"" Magee and harmonica master Adam Gussow. Shot over 20 years, the film showcases one of the greatest blues duos you probably never got a chance to see. Magee and Gussow came together on the streets of Harlem in the 1980s, a time when race relations in… Expand",Scott Balcerek,Music,80
Crude,2009,First Run Features," September 9, 2009",7,"Three years in the making, this riveting new documentary from acclaimed filmmaker Joe Berlinger (Brother's Keeper, Paradise Lost, Metallica: Some Kind of Monster) tells the epic story of one of the largest and most controversial legal cases on the planet. An inside look at the infamous $27 billion ""Amazon Chernobyl"" case, Crude is a… Expand",Joe Berlinger,Documentary,105
Tanna,2016,Lightyear Entertainment," September 16, 2016",7.1,"In the South Pacific, Wawa, a young girl from one of the last traditional tribes, falls in love with her chief’s grandson, Dain. When an intertribal war escalates, Wawa is unknowingly betrothed as part of a peace deal. The young lovers run away, but are pursued by enemy warriors intent on killing them. They must choose between their hearts… Expand",Bentley Dean,Drama,100
John Wick: Chapter 2,2017,Summit Entertainment," February 10, 2017",8,"Legendary hitman John Wick is forced to back out of retirement by a former associate plotting to seize control of a shadowy international assassins’ guild. Bound by a blood oath to help him, John travels to Rome where he squares off against some of the world’s deadliest killers.",Chad Stahelski,Action,122
The Escape,2018,IFC Films," May 11, 2018",6,"Tara (Gemma Arterton), a housewife in suburban London, is living a life that is no longer hers: it belongs to her overworked, self-absorbed husband (Dominic Cooper); her young son and daughter; and the numbing routine of housework and childcare. In desperate need of a change, Tara one day makes a bold decision. Armed with a one-way ticket… Expand",Dominic Savage,Drama,101
Belfast,2021,Focus Features," November 12, 2021",6.6,"Belfast is a poignant story of love, laughter and loss in one boy’s childhood, amid the music and social tumult of the late 1960s.",Kenneth Branagh,Drama,98
The Witnesses,2008,Strand Releasing," February 1, 2008",6.6,"Paris, summer 1984. Manu arrives in Paris, where he shares a cheap hotel room with his sister Julie. He strikes up a joyous, chaste friendship with Adrien, a wealthy doctor in his early fifties who opens Manu’s eyes to a different way of life. On a trip out on a speedboat, Adrien introduces Manu to Sarah and Mehdi, a young couple who have
… Expand",André Téchiné,Drama,112
How to Train Your Dragon,2010,Paramount Pictures," March 26, 2010",8.6,"Set in the mythical world of burly Vikings and wild dragons, and based on the book by Cressida Cowell, the action comedy tells the story of Hiccup, a Viking teenager who doesn’t exactly fit in with his tribe's longstanding tradition of heroic dragon slayers. Hiccup's world is turned upside down when he encounters a dragon that challenges he… Expand",Chris Sanders,Adventure,98
Destination Unknown,2017,Seventh Art Releasing," November 10, 2017",-1,Destination Unknown blends intimate testimony with immersive archive to bring the stories of twelve Holocaust survivors to the screen.,Claire Ferguson,History,81
The Battered Bastards of Baseball,2014,Netflix," July 11, 2014",6.9,"The Battered Bastards of Baseball is one of baseball's last great, unheralded true stories. In 1973, Hollywood veteran Bing Russell (best known for playing Deputy Clem on ""Bonanza"") created the only independent baseball team in America at the time, the legendary Portland Mavericks. Bing operated without a Major League affiliation while… Expand",Chapman Way,Documentary,73
Side Effects,2013,Open Road Films," February 8, 2013",7.9,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,Steven Soderbergh,Drama,106
Oceans,2010,Disneynature," April 22, 2010",7.6,"Disneynature, the studio that presented the record-breaking film Earth, brings Oceans to the big screen on Earth Day, 2010. Nearly three-quarters of the Earth's surface is covered by water and Oceans boldly chronicles the mysteries that lie beneath. Directors Jacques Perrin and Jacques Cluzaud dive deep into the very waters that sustain all… Expand",Jacques Cluzaud,Drama,84
Titanic,1997,Paramount Pictures," December 19, 1997",8.4,A fictional romantic tale of a rich girl (Winslet) and a poor bohemian boy (DiCaprio) who meet on the ill-fated voyage of the 'unsinkable' ship.,James Cameron,Drama,194
That Evening Sun,2009,Freestyle Releasing," November 6, 2009",6.4,"Abner Meecham flees a nursing facility and returns to his Tennessee farm, only to discover his son has leased his farm to his old foe, Lonzo Choat. The two men end up in a grudge match, claiming their right to the land. (Freestyle Releasing)",Scott Teems,Drama,110
